Category Code,Description
0010,Carry Over Hats
0011,Carry Over Stockings
0012,Carry Over Tree Skirts
0013,Carry Over Table Runners
0014,Carry Over Trees
0015,Carry Over Pre-Deco Pine
0016,Carry Over Lights
0017,Carry Over Bows
0018,Carry Over Ribbon
0019,Carry Over Mesh
0021,Carry Over Plush
0022,Carry Over Gel Clings
0023,Carry Over Commodities
0024,Carry Over Gift Box
0025,Carry Over Tissue Paper
0030,Carry Over Red Ornaments
0031,Carry Over Silver Ornaments
0032,Carry Over Gold Ornaments
0033,Carry Over Purple Ornaments
0034,Carry Over Light Blue Ornaments
0035,Carry Over Tinsel Garland
0036,Carry Over Packaged Sets
0037,Carry Over Shatterproof Garland
0038,Carry Over Shatterproof Wreath
0039,Carry Over Picks
0040,Carry Over Clip-On
0099,MISC
10,Soft Goods
14,Trees
15,Basic Pine
16,Light Sets
21,Plush
22,Commodities
24,Gift Boxes
25,Tissue Paper
27,Bows
28,Bows
29,Ribbon
30,Ornaments
31,Garland
32,Packaged Sets
33,Shatterproof Wreaths
34,Shatterproof Garland
35,Clip-On Flowers
36,Picks
37,Long-Stem Flowers
40,Tabletop D̩cor
41,Pre-Deco Pine Theme
42,Jumbo Bells
43,Jumbo Ornaments
50,Bushes
GEMX,Gemex Program
PG,Pepe Ganga
SG1,Single-Stem Flowers
SG2,Flower Bushes
SG3,Flower Bundles
SG4,Greenery Stems
SG5,Potted Flowers
SG6,Floral Garland
SG7,Single Orchid Stem
SG8,Potted Trees
Z,Inactive
